Name,OVR,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Preferred foot,Height,Weight,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Youssef Chermiti,71,66,67,72,72,71,57,65,67,50,39,40,69,58,54,70,67,52,72,71,69,33,74,29,25,25,74,61,79,61,Delantero,3,Right,192,81,0,0,0,0.0,0.0
Víctor Chust,71,66,70,41,28,32,26,30,35,35,28,30,76,69,27,44,39,57,67,70,68,71,70,73,72,70,75,54,72,70,Defensor,5,Right,184,76,0,0,0,0.0,0.0
Fábio Ronaldo,71,86,83,68,65,76,65,67,70,63,67,50,65,56,67,77,83,75,63,72,60,66,58,62,60,64,75,77,62,45,Delantero,3,Right,178,72,0,0,0,0.0,0.0
Wylan Cyprien,71,64,61,69,65,75,70,64,76,70,70,70,72,71,73,71,70,76,66,73,76,67,64,71,67,64,76,72,78,72,Mediocampista,3,Right,180,79,0,0,0,0.0,0.0
Edgar,71,57,56,75,74,75,62,73,78,65,54,57,65,57,68,64,40,57,66,71,73,25,77,26,27,25,86,57,87,77,Delantero,4,Right,191,87,0,0,0,0.0,0.0
Ben Davies,71,64,67,37,36,42,39,43,48,37,61,40,71,68,44,60,65,62,71,68,72,71,69,73,72,70,77,65,78,62,Defensor,3,Left,185,74,0,0,0,0.0,0.0
Keinan Davis,71,61,67,70,72,72,63,64,60,58,47,40,63,40,49,73,65,67,67,72,67,44,74,44,38,23,86,62,91,80,Delantero,2,Left,189,68,0,0,0,0.0,0.0
Fernando De Paul,71,37,44,14,15,49,12,13,21,64,11,12,39,25,19,18,33,65,70,35,66,24,12,18,12,14,60,36,65,15,Arquero,3,Right,183,83,72,64,65,70.0,73.0
Mathias Delorge,71,60,66,56,58,64,65,44,48,74,61,64,74,76,68,68,60,53,64,75,65,71,42,52,67,65,59,81,72,55,Mediocampista,3,Left,189,70,0,0,0,0.0,0.0
El Hadji Malick Diouf,71,76,79,65,55,64,56,67,59,62,70,58,65,65,51,70,62,67,67,70,63,64,79,64,68,68,88,71,73,64,Defensor,2,Left,183,75,0,0,0,0.0,0.0
Benjamín Domínguez,71,83,84,66,68,64,61,55,60,66,61,58,67,70,59,73,77,79,58,73,65,45,43,39,41,36,52,82,42,60,Mediocampista,3,Right,172,68,0,0,0,0.0,0.0
Rade Dugalić,71,48,39,39,30,75,67,45,51,50,35,65,63,67,28,36,37,34,67,44,62,76,76,62,75,68,83,75,90,72,Defensor,3,Right,193,90,0,0,0,0.0,0.0
Enzo Ebosse,71,66,59,51,28,45,38,27,41,45,66,31,62,53,51,65,46,62,63,70,52,72,68,71,75,73,75,66,75,67,Defensor,3,Left,185,75,0,0,0,0.0,0.0
Souffian El Karouani,71,75,66,55,38,53,41,34,45,64,75,38,69,62,73,71,71,71,71,73,68,65,54,66,67,67,67,77,61,70,Defensor,2,Left,178,74,0,0,0,0.0,0.0
Joca,71,76,77,69,68,76,73,72,53,67,64,53,68,65,63,75,89,92,67,73,73,58,41,54,55,51,54,69,33,47,Delantero,3,Right,167,63,0,0,0,0.0,0.0
Paolo Fernandes,71,81,74,58,69,70,72,62,60,65,61,70,68,52,75,78,85,83,66,77,73,36,38,42,34,26,59,68,55,60,Delantero,3,Left,167,68,0,0,0,0.0,0.0
Clayton,71,70,71,74,77,72,70,68,70,62,58,61,65,55,55,66,66,60,68,62,66,25,71,20,14,15,82,66,78,50,Delantero,3,Right,184,78,0,0,0,0.0,0.0
Sebastián Fernández,71,76,67,81,78,62,66,81,71,65,65,63,74,61,63,59,78,84,76,71,66,44,77,45,20,43,70,52,39,52,Delantero,4,Right,167,65,0,0,0,0.0,0.0
Dominik Fitz,71,81,71,70,68,67,71,59,68,75,71,71,74,72,72,69,82,81,59,70,59,22,56,22,42,39,70,79,55,37,Mediocampista,3,Right,174,67,0,0,0,0.0,0.0
Fabricio Formiliano,71,59,63,35,42,42,19,25,47,40,38,40,58,49,38,40,59,71,65,60,62,63,72,76,71,64,82,61,84,80,Defensor,3,Right,185,85,0,0,0,0.0,0.0
Martin Frese,71,77,80,68,60,74,74,54,47,68,72,49,70,64,63,69,75,73,65,73,65,63,50,65,68,67,69,77,66,61,Defensor,3,Left,179,75,0,0,0,0.0,0.0
César Fuentes,71,64,57,54,54,69,63,37,59,56,57,54,72,68,48,57,67,77,66,70,61,68,67,71,72,66,72,87,70,77,Mediocampista,3,Right,172,70,0,0,0,0.0,0.0
Niko Gießelmann,71,66,60,65,55,65,62,56,54,62,70,66,70,69,65,65,66,67,69,66,69,69,67,68,71,69,75,74,74,73,Defensor,2,Left,182,75,0,0,0,0.0,0.0
Mario González,71,65,71,78,73,70,65,68,63,72,66,52,63,61,44,70,73,68,68,73,69,16,72,18,15,18,79,75,75,41,Delantero,3,Right,183,76,0,0,0,0.0,0.0
Jay Gorter,71,51,48,14,16,50,11,15,28,52,21,20,36,42,37,23,45,35,66,30,48,13,20,18,18,19,64,42,57,35,Arquero,2,Right,190,83,72,65,67,71.0,76.0
Julian Green,71,78,65,68,69,65,68,69,63,64,69,64,73,59,67,72,84,82,69,76,69,28,55,29,34,27,72,77,64,38,Mediocampista,4,Right,173,70,0,0,0,0.0,0.0
Jens Petter Hauge,71,83,74,69,68,69,66,56,65,68,66,54,65,60,66,75,80,76,66,73,62,39,49,43,37,32,70,75,67,42,Delantero,3,Right,184,75,0,0,0,0.0,0.0
Niklas Hedl,71,28,30,5,5,49,6,7,15,51,12,10,24,45,12,7,36,42,60,17,27,12,13,8,12,13,58,25,64,17,Arquero,1,Right,188,78,73,70,65,69.0,73.0
Leo Coelho,71,55,65,47,43,49,40,35,52,60,39,37,53,35,39,44,72,54,55,52,73,78,68,79,76,73,69,65,70,66,Defensor,3,Right,189,87,0,0,0,0.0,0.0
Thomas Henry,71,39,53,75,74,80,62,72,82,69,51,59,71,63,45,61,53,44,72,73,76,25,76,39,39,29,79,60,86,83,Delantero,3,Right,191,86,0,0,0,0.0,0.0
Edwin Herrera,71,84,83,58,49,54,39,39,54,53,68,40,63,56,60,63,78,82,65,66,55,69,49,66,70,64,66,84,56,55,Defensor,3,Right,170,64,0,0,0,0.0,0.0
Mason Holgate,71,65,70,52,37,55,42,40,40,61,65,35,71,71,53,60,67,64,68,64,68,70,70,71,71,72,75,59,72,80,Defensor,3,Right,184,75,0,0,0,0.0,0.0
Ryan Hollingshead,71,53,46,67,62,78,62,40,49,65,66,39,71,67,59,72,61,60,72,70,69,70,74,68,72,69,79,86,81,74,Defensor,5,Right,185,82,0,0,0,0.0,0.0
George Honeyman,71,66,72,67,65,66,60,55,64,73,70,66,72,68,69,68,73,82,70,70,67,64,48,65,70,67,61,89,65,74,Mediocampista,3,Right,173,72,0,0,0,0.0,0.0
Hwang In Jae,71,28,24,18,15,47,18,17,14,50,11,13,23,25,15,16,33,34,68,14,31,12,14,13,11,12,55,36,59,29,Arquero,3,Right,187,73,72,68,63,66.0,75.0
Alessio Iovine,71,66,71,65,50,62,65,69,55,64,66,42,68,67,67,69,72,77,72,71,70,67,58,67,72,70,66,79,61,58,Defensor,3,Right,174,70,0,0,0,0.0,0.0
Christian Kabasele,71,42,57,50,49,57,44,52,53,36,47,27,65,57,34,57,46,48,71,64,64,71,70,72,71,69,70,57,78,72,Defensor,3,Right,187,84,0,0,0,0.0,0.0
Tomáš Kalas,71,62,85,46,38,66,54,24,53,48,54,31,63,58,29,57,57,62,69,61,70,70,68,66,73,72,78,72,82,72,Defensor,3,Right,184,86,0,0,0,0.0,0.0
Mohammed Kanno,71,68,81,67,64,79,70,56,66,66,66,70,76,76,56,73,75,56,64,73,65,66,69,66,72,57,76,77,75,67,Mediocampista,3,Right,191,67,0,0,0,0.0,0.0
Aytaç Kara,71,53,50,74,67,86,79,60,63,66,65,75,75,73,73,67,61,66,68,68,66,65,65,60,64,58,66,80,82,74,Mediocampista,3,Right,186,84,0,0,0,0.0,0.0
Sinan Karweina,71,82,80,71,74,73,70,71,58,68,65,48,68,59,59,67,82,85,64,72,67,37,68,34,43,38,79,72,67,66,Delantero,3,Right,173,68,0,0,0,0.0,0.0
Edo Kayembe,71,70,73,55,55,80,70,56,53,69,53,55,74,71,57,68,63,71,66,69,66,69,64,64,69,67,78,79,80,72,Mediocampista,2,Left,183,82,0,0,0,0.0,0.0
Yannik Keitel,71,63,69,49,44,58,49,41,48,65,49,49,72,70,42,62,66,65,70,71,64,68,75,64,74,67,79,65,73,79,Mediocampista,4,Right,186,85,0,0,0,0.0,0.0
Ko Seung Beom,71,71,73,69,57,62,63,62,58,69,63,65,71,69,58,65,83,90,70,74,68,74,46,66,69,61,68,91,74,72,Mediocampista,5,Right,173,70,0,0,0,0.0,0.0
Markus Kolke,71,48,40,19,15,46,11,20,29,25,12,13,24,21,11,13,39,58,69,18,23,21,20,11,17,19,73,45,78,18,Arquero,2,Right,187,91,73,68,61,69.0,74.0
Juan Cruz Komar,71,60,56,35,33,47,28,35,47,44,29,37,64,62,30,43,58,46,68,62,65,72,74,70,72,70,72,76,78,73,Defensor,3,Right,190,82,0,0,0,0.0,0.0
Fabian Kunze,71,64,70,43,37,53,35,32,39,59,47,32,66,60,34,54,55,39,72,64,68,72,72,74,73,72,80,81,76,84,Mediocampista,3,Right,193,78,0,0,0,0.0,0.0
Grejohn Kyei,71,56,66,73,72,72,66,59,75,55,44,42,64,45,56,72,64,63,69,71,68,19,77,24,23,18,86,68,87,64,Delantero,3,Right,188,90,0,0,0,0.0,0.0
Giorgos Kyriakopoulos,71,65,58,50,40,68,57,40,35,45,71,68,73,63,56,73,65,57,70,73,64,72,53,73,72,73,64,63,65,71,Defensor,2,Left,178,74,0,0,0,0.0,0.0
Richie Laryea,71,82,84,70,60,70,57,38,57,64,66,49,69,62,58,76,80,69,68,71,75,63,51,66,69,65,71,84,65,74,Defensor,4,Right,175,70,0,0,0,0.0,0.0
Lee Yeong Jae,71,72,77,71,58,66,67,53,62,72,63,72,72,69,64,71,87,83,71,72,61,66,55,57,57,53,68,89,60,68,Mediocampista,4,Left,174,60,0,0,0,0.0,0.0
Danny Loader,71,79,79,73,72,71,66,68,65,70,52,50,69,45,59,75,80,73,71,76,64,20,56,23,15,19,78,72,76,42,Delantero,3,Right,182,76,0,0,0,0.0,0.0
Sergio Lozano,71,60,60,68,75,72,73,58,71,73,72,76,76,75,75,70,66,74,58,74,62,57,43,59,62,58,42,71,40,45,Mediocampista,3,Right,176,70,0,0,0,0.0,0.0
Sayfallah Ltaief,71,84,86,63,67,62,60,58,58,68,65,50,64,55,64,76,83,74,58,74,60,24,41,29,35,40,64,70,62,59,Mediocampista,3,Right,178,77,0,0,0,0.0,0.0
Kristoffer Lund Hansen,71,80,87,62,50,60,59,50,48,63,64,55,70,63,66,65,76,73,68,65,60,64,59,62,65,63,75,92,69,60,Defensor,3,Left,184,73,0,0,0,0.0,0.0
Ramiro Macagno,71,29,32,6,9,50,7,7,13,57,10,12,26,20,10,5,34,44,64,12,24,15,10,25,14,11,50,28,51,23,Arquero,2,Right,185,77,73,70,67,69.0,71.0
Yvann Maçon,71,85,83,64,44,67,51,33,45,59,67,41,65,53,65,72,79,74,66,72,68,65,59,63,68,67,77,80,69,70,Defensor,3,Right,177,74,0,0,0,0.0,0.0
Matej Maglica,71,35,68,33,35,78,63,27,64,29,40,54,58,52,32,37,35,32,68,54,54,67,74,67,71,66,77,66,93,78,Defensor,3,Left,198,99,0,0,0,0.0,0.0
Lucas Mancinelli,71,76,75,74,71,73,68,63,63,72,59,58,72,65,63,68,82,80,69,72,70,59,67,41,62,55,69,71,52,71,Mediocampista,3,Right,168,68,0,0,0,0.0,0.0
Manquillo,71,64,62,67,32,69,44,37,46,41,74,46,71,62,72,72,66,67,65,74,64,74,63,73,75,74,67,50,61,68,Defensor,3,Right,178,76,0,0,0,0.0,0.0
Facundo Martínez,71,49,47,70,62,68,70,43,66,72,63,76,77,74,62,72,52,65,65,73,67,62,39,63,63,58,50,62,63,60,Mediocampista,3,Right,180,76,0,0,0,0.0,0.0
Damián Martínez,71,75,73,67,62,71,68,49,51,63,72,50,64,62,66,71,71,75,70,72,74,67,57,68,69,67,74,77,71,76,Defensor,3,Right,180,72,0,0,0,0.0,0.0
Bruno Martins Indi,71,33,44,42,38,57,40,32,38,40,59,38,69,66,36,54,52,57,68,62,67,70,70,73,71,70,69,65,83,76,Defensor,3,Left,185,76,0,0,0,0.0,0.0
Kasey McAteer,71,83,80,69,69,68,64,64,56,67,64,54,69,67,65,70,74,76,67,73,69,43,58,56,57,49,74,68,61,63,Delantero,3,Right,177,67,0,0,0,0.0,0.0
Alex McCarthy,71,48,52,11,17,47,14,12,41,50,11,18,33,35,15,17,35,43,68,17,61,22,16,13,13,12,64,34,63,35,Arquero,2,Right,193,79,71,71,62,68.0,74.0
Yorleys Mena,71,67,66,71,78,73,68,68,60,50,43,46,55,44,55,69,70,49,65,68,55,12,72,42,33,25,82,70,78,30,Delantero,3,Right,178,78,0,0,0,0.0,0.0
Javier Méndez,71,65,68,66,53,69,62,49,52,64,59,45,60,63,59,59,65,56,71,66,66,67,55,74,79,69,70,77,75,80,Defensor,3,Right,185,84,0,0,0,0.0,0.0
Chris Mepham,71,39,54,39,32,52,32,33,44,53,38,35,66,63,41,58,51,61,68,64,67,71,70,70,74,72,68,62,77,73,Defensor,3,Right,190,84,0,0,0,0.0,0.0
Meseguer,71,61,64,70,74,65,66,37,57,70,55,68,74,71,65,70,57,56,68,74,59,67,68,62,73,68,73,74,72,70,Mediocampista,3,Right,184,77,0,0,0,0.0,0.0
Pedro Mendes,71,69,74,72,75,77,68,72,71,56,51,60,61,48,68,66,80,65,66,68,66,28,70,26,38,26,81,61,84,72,Delantero,4,Right,187,84,0,0,0,0.0,0.0
Santiago Moreno,71,86,80,67,66,68,65,56,69,68,60,44,64,57,43,79,86,82,66,70,73,51,38,45,58,57,56,74,49,50,Mediocampista,2,Right,173,67,0,0,0,0.0,0.0
Toni Moya,71,48,55,67,70,66,70,38,60,70,71,72,77,75,64,72,63,62,68,75,61,66,45,59,70,57,50,58,56,57,Mediocampista,3,Right,180,78,0,0,0,0.0,0.0
Arbnor Muja,71,87,91,69,63,73,71,58,67,62,65,61,68,57,68,72,82,83,62,69,68,46,53,38,51,45,72,77,60,68,Mediocampista,5,Right,179,69,0,0,0,0.0,0.0
Facundo Mura,71,84,82,73,50,67,55,30,47,70,72,41,67,57,52,70,76,74,67,69,65,62,55,64,70,67,75,79,68,69,Defensor,3,Right,170,72,0,0,0,0.0,0.0
Mickaël Nadé,71,36,35,38,28,39,23,31,39,42,34,28,55,41,35,44,41,66,69,58,64,70,68,69,72,69,72,73,91,76,Defensor,2,Left,188,80,0,0,0,0.0,0.0
Kal Naismith,71,67,65,52,63,73,71,45,59,64,68,74,65,62,70,67,74,74,69,64,65,70,70,70,71,69,78,77,78,73,Defensor,3,Left,185,78,0,0,0,0.0,0.0
Yvan Neyou,71,62,68,67,59,64,58,47,67,70,52,45,70,67,54,77,72,73,68,73,75,70,63,69,72,66,68,74,65,78,Mediocampista,3,Right,180,63,0,0,0,0.0,0.0
Jessic Ngankam,71,80,84,69,71,75,68,53,59,60,69,43,65,50,48,75,70,75,67,70,70,15,62,17,36,19,82,70,78,64,Delantero,4,Right,184,84,0,0,0,0.0,0.0
Randy Nteka,71,74,71,72,69,74,68,64,73,67,56,51,69,65,57,70,77,78,68,71,66,63,71,41,55,54,89,78,88,77,Delantero,3,Left,189,75,0,0,0,0.0,0.0
Jay O'Shea,71,61,55,66,63,68,67,65,76,74,71,70,73,72,69,72,77,80,68,72,73,64,55,61,62,58,68,89,73,70,Mediocampista,4,Right,183,70,0,0,0,0.0,0.0
Denis Odoi,71,73,68,65,54,70,65,52,49,64,62,58,72,66,60,70,75,72,69,71,75,70,67,69,69,69,74,73,66,81,Defensor,3,Right,178,72,0,0,0,0.0,0.0
Cristian Olivera,71,86,85,68,67,65,62,52,65,62,62,56,63,60,61,80,84,82,53,75,54,32,40,44,31,32,53,59,42,50,Delantero,3,Right,175,77,0,0,0,0.0,0.0
Andrew Omobamidele,71,72,71,41,24,42,16,27,25,58,25,15,68,62,36,53,52,52,66,59,63,69,68,71,72,70,74,67,81,69,Defensor,3,Right,188,74,0,0,0,0.0,0.0
Jerome Opoku,71,62,54,45,35,60,45,42,39,42,55,41,59,52,45,55,59,58,59,61,58,73,62,73,73,69,79,68,88,74,Defensor,3,Left,197,79,0,0,0,0.0,0.0
Elisha Owusu,71,64,56,57,46,67,55,49,53,65,56,45,71,69,53,67,68,70,70,69,66,69,48,67,72,68,61,74,68,68,Mediocampista,3,Right,182,72,0,0,0,0.0,0.0
Kenneth Paal,71,83,79,65,47,60,48,57,45,68,71,53,70,64,72,71,81,80,65,72,70,67,59,65,66,64,79,77,71,67,Defensor,3,Left,175,68,0,0,0,0.0,0.0
Andy Pelmard,71,81,88,45,26,53,30,33,45,49,60,27,70,66,53,68,75,77,68,70,66,70,63,70,71,70,81,82,75,72,Defensor,4,Right,180,68,0,0,0,0.0,0.0
Fabio Pereyra,71,60,61,37,30,50,32,33,36,38,38,29,57,62,39,45,59,52,65,58,57,71,72,70,69,73,82,71,83,78,Defensor,2,Right,185,76,0,0,0,0.0,0.0
Matías Pérez García,71,68,72,70,68,68,70,55,67,73,72,71,72,71,73,74,83,89,64,72,69,43,39,42,48,42,51,65,54,74,Mediocampista,3,Left,165,68,0,0,0,0.0,0.0
Mario Gaspar,71,63,64,63,65,71,65,68,50,62,68,54,65,63,65,67,65,55,69,68,69,74,63,71,72,73,72,72,72,77,Defensor,3,Right,180,77,0,0,0,0.0,0.0
Jesurun Rak-Sakyi,71,81,85,69,70,70,67,62,61,66,66,58,65,53,69,74,81,84,63,74,75,21,42,22,22,21,56,66,49,35,Delantero,4,Left,178,73,0,0,0,0.0,0.0
Anthony Ralston,71,74,77,66,58,68,54,55,44,71,66,41,73,72,67,68,73,76,69,69,72,63,68,59,68,67,81,81,77,76,Defensor,3,Right,183,78,0,0,0,0.0,0.0
Benito Raman,71,87,88,72,69,73,69,72,70,66,65,67,69,60,71,70,89,86,72,68,67,31,67,25,33,31,76,74,56,56,Delantero,4,Right,172,67,0,0,0,0.0,0.0
Rayan Raveloson,71,74,73,61,64,72,71,58,55,64,53,49,73,72,52,72,77,70,67,72,69,66,77,68,69,68,86,84,74,66,Mediocampista,3,Right,182,73,0,0,0,0.0,0.0
Federico Ricca,71,66,63,58,38,71,61,24,38,50,66,40,67,58,45,63,69,72,68,68,65,72,72,72,74,73,75,69,66,77,Defensor,3,Left,178,73,0,0,0,0.0,0.0
Braian Romero,71,85,83,73,70,71,65,68,68,69,58,51,64,61,69,75,89,82,69,70,75,51,69,44,61,58,81,85,70,74,Delantero,2,Right,176,65,0,0,0,0.0,0.0
Maximiliano Romero,71,75,75,71,69,74,62,71,59,61,45,46,70,60,41,65,67,60,68,69,65,40,73,45,42,41,85,71,77,64,Delantero,5,Right,180,76,0,0,0,0.0,0.0
Jonny Rowe,71,81,84,74,70,78,69,63,61,66,64,52,66,47,70,74,80,83,67,74,68,39,64,39,26,24,77,64,64,63,Mediocampista,3,Right,178,74,0,0,0,0.0,0.0
John Ruddy,71,35,40,15,7,51,15,11,18,39,14,13,25,23,13,11,23,22,70,23,53,22,12,11,11,11,63,36,71,24,Arquero,3,Right,193,97,68,72,68,70.0,69.0
Emmanuel Sabbi,71,90,90,68,66,67,62,62,66,64,64,48,65,51,62,70,89,88,68,73,67,40,57,36,35,29,73,68,56,53,Mediocampista,4,Right,178,70,0,0,0,0.0,0.0
Jorge Sáenz,71,53,68,49,35,52,41,46,45,59,42,49,66,59,32,57,58,60,69,67,71,70,69,74,72,70,73,78,78,72,Defensor,3,Right,192,75,0,0,0,0.0,0.0
Ramzi Safuri,71,69,68,67,62,75,74,48,66,72,74,76,73,71,77,73,76,77,68,71,71,26,42,28,45,42,60,67,70,58,Mediocampista,3,Right,184,74,0,0,0,0.0,0.0
Ulrik Saltnes,71,77,72,70,65,66,63,55,56,69,63,55,72,70,64,68,70,73,72,69,69,69,70,69,67,64,84,90,79,76,Mediocampista,3,Right,187,78,0,0,0,0.0,0.0
Marcelo Saracchi,71,82,78,70,58,68,65,48,58,70,73,61,65,63,69,67,84,84,66,70,73,67,58,64,65,66,74,77,62,79,Defensor,3,Left,172,68,0,0,0,0.0,0.0
Vincent Sasso,71,35,38,22,22,40,21,26,41,32,47,26,67,62,37,52,36,43,65,58,60,68,78,71,72,69,77,66,82,78,Defensor,3,Right,190,83,0,0,0,0.0,0.0
Joan Sastre,71,75,79,49,40,39,42,36,61,44,68,40,67,55,62,68,67,65,64,70,62,67,62,66,71,70,73,70,64,58,Defensor,3,Right,174,68,0,0,0,0.0,0.0
Matthias Seidl,71,59,73,71,75,66,69,58,53,71,58,69,73,70,68,72,61,75,68,75,65,22,48,38,38,41,62,81,55,54,Mediocampista,4,Right,175,68,0,0,0,0.0,0.0
Ellis Simms,71,67,80,73,73,74,64,66,64,55,45,51,61,44,59,67,64,67,66,63,72,21,71,40,27,23,84,67,84,71,Delantero,4,Right,191,73,0,0,0,0.0,0.0
Matte Smets,71,65,68,36,25,52,30,30,45,63,54,35,75,71,41,59,64,69,68,72,64,71,64,73,76,72,73,80,72,65,Defensor,3,Right,184,76,0,0,0,0.0,0.0
Álex Sola,71,79,77,66,68,51,52,36,46,59,71,31,70,62,61,71,70,67,65,72,69,63,62,62,63,67,76,87,68,71,Mediocampista,4,Right,178,75,0,0,0,0.0,0.0
Pascal Stenzel,71,52,64,52,55,75,66,39,49,69,62,58,75,71,62,68,61,62,67,71,67,73,63,71,73,70,65,69,67,73,Defensor,3,Right,183,74,0,0,0,0.0,0.0
Cristián Suárez,71,54,76,55,40,45,31,35,59,55,62,39,68,69,39,57,66,62,71,63,71,72,71,72,72,70,74,71,71,70,Defensor,4,Right,179,75,0,0,0,0.0,0.0
Iván Tapia,71,69,69,74,68,68,67,50,75,75,77,74,75,70,72,67,71,70,66,74,70,46,51,55,55,53,65,90,68,59,Mediocampista,3,Right,179,70,0,0,0,0.0,0.0
Cristian Tarragona,71,75,76,74,73,76,69,55,72,59,47,67,65,53,58,60,80,81,72,69,68,37,70,43,39,35,79,72,71,83,Delantero,3,Right,176,75,0,0,0,0.0,0.0
Filippo Terracciano,71,81,78,57,56,69,65,54,57,67,75,65,72,67,73,73,71,68,62,71,54,66,61,64,71,68,76,74,65,61,Mediocampista,4,Right,181,68,0,0,0,0.0,0.0
Tanner Tessmann,71,64,59,66,48,69,60,48,48,71,58,60,73,73,58,67,68,72,67,71,68,67,55,70,68,64,74,79,84,62,Mediocampista,4,Right,188,86,0,0,0,0.0,0.0
Michal Tomič,71,75,77,66,59,71,74,58,44,66,72,62,70,66,62,71,72,66,68,71,68,67,58,63,66,68,70,73,62,68,Defensor,4,Right,181,77,0,0,0,0.0,0.0
Jens Toornstra,71,37,55,75,71,75,75,77,56,75,75,73,75,75,73,68,62,75,74,71,74,70,63,72,67,62,53,80,68,73,Mediocampista,2,Right,178,74,0,0,0,0.0,0.0
Nathan Trott,71,41,39,15,12,52,11,12,15,45,18,14,39,34,18,24,42,44,62,34,47,15,14,18,14,13,49,45,42,27,Arquero,3,Left,188,75,71,70,69,70.0,72.0
Moses Usor,71,89,90,66,63,70,68,63,57,66,62,64,66,61,61,74,83,74,61,70,71,28,54,34,43,39,74,78,65,58,Mediocampista,2,Left,181,64,0,0,0,0.0,0.0
Georgios Vagiannidis,71,81,78,65,42,56,46,41,42,61,68,45,67,61,64,65,73,68,68,68,60,65,59,64,68,67,72,78,59,68,Defensor,3,Right,181,68,0,0,0,0.0,0.0
Zeno Van Den Bosch,71,54,64,23,25,34,25,19,33,68,45,27,74,75,52,43,50,49,67,60,60,70,72,70,74,73,77,56,78,65,Defensor,4,Right,191,78,0,0,0,0.0,0.0
Hannes Van Der Bruggen,71,45,34,67,54,73,69,63,58,73,70,65,72,70,68,66,63,70,67,71,72,72,65,68,69,66,62,81,64,74,Mediocampista,4,Right,181,72,0,0,0,0.0,0.0
Mattia Viti,71,63,68,31,26,56,32,33,40,39,35,29,67,57,42,45,52,49,68,60,63,71,74,71,74,71,76,57,70,68,Defensor,3,Left,190,82,0,0,0,0.0,0.0
Andrés Vombergar,71,65,75,73,71,75,56,58,59,65,53,57,64,59,52,63,54,61,69,69,57,34,77,32,18,35,87,69,84,71,Delantero,3,Right,187,79,0,0,0,0.0,0.0
Rémi Walter,71,59,66,60,57,67,65,50,60,73,65,50,74,72,64,71,74,73,68,73,71,69,50,65,67,64,61,81,66,66,Mediocampista,4,Left,175,73,0,0,0,0.0,0.0
Hannes Wolf,71,80,74,70,68,69,68,63,65,70,63,63,69,64,73,74,77,74,67,73,66,38,57,25,42,40,73,68,66,70,Mediocampista,3,Left,179,71,0,0,0,0.0,0.0
Paweł Wszołek,71,81,77,71,65,66,60,56,51,69,69,52,69,66,66,68,76,72,65,68,70,59,57,51,58,54,73,81,61,63,Mediocampista,2,Right,186,77,0,0,0,0.0,0.0
Yan Junling,71,53,43,15,14,50,13,16,21,66,15,14,30,30,20,17,33,45,67,24,62,25,19,13,13,13,71,43,72,16,Arquero,2,Right,191,83,71,70,67,70.0,71.0
Rubén Yáñez,71,44,43,18,13,48,17,19,25,32,15,15,22,20,20,16,51,28,69,14,47,19,20,12,14,13,66,38,68,20,Arquero,3,Right,188,80,70,69,64,69.0,75.0
Amin Younes,71,74,65,70,67,66,59,64,58,71,62,59,71,65,72,77,87,88,67,76,72,38,28,34,37,25,50,63,52,65,Mediocampista,2,Right,170,71,0,0,0,0.0,0.0
Ramón Ábila,70,59,55,65,69,81,63,73,67,65,53,48,65,63,52,69,68,72,65,70,73,19,73,29,32,22,77,54,92,76,Delantero,3,Right,177,93,0,0,0,0.0,0.0
Washington Aguerre,70,55,50,18,17,50,14,15,23,60,18,19,13,13,12,16,56,50,70,10,50,17,12,15,11,12,70,43,71,37,Arquero,1,Right,188,90,68,70,67,69.0,69.0
Juan Felipe Aguirre,70,53,64,37,38,45,33,28,35,49,49,36,59,52,34,48,49,64,60,56,62,63,76,78,68,75,81,61,80,65,Defensor,3,Right,186,79,0,0,0,0.0,0.0
Ahn Hyun Beom,70,90,90,71,60,64,57,57,67,63,66,62,62,58,67,70,84,72,69,63,69,62,48,58,65,59,76,91,73,57,Defensor,4,Right,179,72,0,0,0,0.0,0.0
Ezgjan Alioski,70,74,72,70,68,76,73,70,72,66,75,66,70,70,73,73,76,77,66,72,62,62,64,63,67,65,74,71,66,83,Defensor,2,Left,172,63,0,0,0,0.0,0.0
Alkain,70,84,75,64,74,74,65,58,59,65,63,51,62,58,52,75,81,82,62,72,60,22,55,16,28,26,73,64,60,24,Mediocampista,3,Right,174,69,0,0,0,0.0,0.0
Jaime Alvarado,70,66,63,64,53,54,55,39,53,63,47,49,72,68,48,68,56,66,69,67,52,66,58,61,73,66,76,76,83,68,Mediocampista,3,Right,180,87,0,0,0,0.0,0.0
Kikas,70,76,75,77,71,75,58,60,67,58,40,44,60,52,55,65,75,75,68,69,71,12,63,19,18,17,75,73,66,49,Delantero,3,Right,177,71,0,0,0,0.0,0.0
Lucas Andersen,70,71,76,72,64,67,65,65,65,70,68,69,70,68,71,71,74,73,70,73,73,48,50,38,26,21,65,70,61,24,Mediocampista,3,Right,185,73,0,0,0,0.0,0.0
