Name,Height,Weight,Position,OVR,Preferred foot,Weak foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Def Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Kevin Nicolás Ratti Fredes,179,72,Arquero,70,Right,3,14,12,12,28,15,17,13,19,27,18,50,60,45,67,69,51,54,44,45,15,21,19,13,18,23,32,15,12,18,70,67,68,66.0,72.0
Pablo Ínsua Blanco,187,80,Defensor,70,Right,3,40,36,68,66,34,44,42,23,62,66,43,47,45,63,56,46,69,50,78,29,70,72,41,52,32,59,72,72,63,9,6,7,13.0,14.0
Didier Andrés Moreno Asprilla,179,78,Mediocampista,70,Left,3,47,30,59,68,64,57,39,35,65,64,70,68,70,71,71,59,75,85,79,36,71,74,53,59,37,64,73,62,63,7,7,12,16.0,12.0
Luis Manuel Orejuela García,180,71,Defensor,70,Right,4,66,41,55,65,35,67,42,33,59,64,79,82,76,66,69,63,74,78,69,44,66,63,67,58,35,60,61,68,72,7,15,12,12.0,11.0
Ralf Sebastian Fährmann,197,98,Arquero,70,Right,1,14,11,15,29,11,15,18,11,34,24,38,47,39,73,36,36,66,32,75,9,36,23,11,42,21,61,10,12,10,70,65,48,71.0,75.0
Terrence Anthony Boyd,188,90,Delantero,70,Right,3,35,68,76,60,74,61,42,42,35,64,56,78,54,71,57,80,85,60,86,65,79,22,70,45,56,78,23,23,22,14,10,13,15.0,10.0
Gabriel Jhon Cortéz Casierra,179,85,Mediocampista,70,Right,3,75,70,58,73,70,72,71,73,71,74,62,58,65,65,70,78,70,69,73,65,41,30,72,71,82,70,39,40,30,13,7,14,11.0,6.0
Nathaniel Chalobah,187,80,Mediocampista,70,Right,3,58,54,70,70,52,69,48,46,69,71,54,55,62,67,61,75,72,62,75,68,76,70,64,68,49,71,67,71,65,12,9,15,8.0,8.0
Mamadou Fofana,186,75,Defensor,70,Right,3,34,30,69,66,38,61,35,29,63,66,68,61,70,66,56,40,78,82,76,30,71,72,35,55,45,58,71,67,66,13,12,13,14.0,6.0
Nathan Santos de Araújo,183,75,Defensor,70,Right,3,61,35,51,64,40,74,51,40,47,70,84,82,70,66,59,41,73,73,68,39,69,62,60,53,43,65,65,72,66,8,6,9,6.0,11.0
Cas Odenthal,190,79,Defensor,70,Right,3,54,25,67,63,46,58,35,32,59,63,55,69,59,68,64,54,73,65,77,33,69,68,25,44,49,68,67,73,71,8,6,11,8.0,15.0
Cyrus Sylvester Frederick Christie,188,82,Defensor,70,Right,3,68,54,65,69,47,72,68,52,63,69,72,78,74,64,56,72,79,75,77,59,71,64,67,64,49,60,65,70,66,11,15,7,12.0,10.0
Álex Forés Mendoza,180,68,Delantero,70,Right,3,42,76,75,70,59,61,46,50,50,63,65,66,66,73,67,74,75,73,62,67,40,30,74,53,74,58,36,33,30,8,10,6,12.0,11.0
Mitchell Dijks,194,92,Defensor,70,Left,3,68,30,60,69,39,65,64,42,67,68,54,67,46,71,41,60,68,70,90,36,77,68,61,52,44,73,69,71,68,11,9,12,13.0,13.0
Zoran Arsenić,186,75,Defensor,70,Right,3,59,32,64,68,44,57,44,39,65,63,70,68,67,70,72,59,79,77,81,35,74,68,43,46,39,62,71,69,69,15,10,12,9.0,10.0
José Enrique Ortiz Cortes,179,78,Defensor,70,Right,3,41,39,70,59,36,44,21,26,56,57,71,72,60,69,65,67,81,66,79,45,72,70,23,34,53,62,72,68,67,6,8,7,5.0,5.0
Tudor Cristian Băluţă,192,80,Mediocampista,70,Right,2,55,50,63,73,36,52,56,64,73,67,64,63,65,67,45,74,78,68,83,67,62,67,55,71,30,71,68,65,63,7,5,10,6.0,10.0
Ylber Ramadani,185,72,Mediocampista,70,Right,3,49,51,58,70,39,65,40,45,64,65,62,58,57,65,69,71,70,88,73,70,72,70,58,59,37,64,68,70,65,8,15,12,15.0,11.0
Mehdi Bourabia,183,73,Mediocampista,70,Right,3,58,49,58,75,57,71,53,72,73,72,58,58,66,71,60,73,63,70,63,71,61,68,62,68,54,69,62,69,67,9,8,9,11.0,8.0
Sékou Mara,183,80,Delantero,70,Right,3,40,71,74,65,67,69,48,41,46,68,76,74,67,65,58,68,84,63,71,62,49,22,69,54,64,68,18,23,19,12,6,12,12.0,10.0
Bautista Kociubinski,181,80,Mediocampista,70,Right,3,52,54,51,76,41,59,55,54,63,64,55,52,50,71,63,62,59,70,62,54,77,74,43,62,61,70,71,68,64,7,8,12,11.0,13.0
Luis Miguel Cruz Hernández,166,62,Mediocampista,70,Left,3,60,63,44,64,52,77,72,70,62,75,87,79,85,54,91,60,58,64,49,62,39,44,63,65,55,78,47,52,49,9,14,13,10.0,14.0
Gabriel Ardero,173,67,Mediocampista,70,Right,3,61,64,49,69,47,77,62,48,64,75,79,74,87,70,75,64,61,70,53,59,51,49,64,65,53,65,42,36,30,9,14,9,6.0,11.0
Cristian Orlando Vega,178,79,Mediocampista,70,Right,3,56,55,52,70,52,63,61,55,68,67,67,68,52,66,69,69,67,78,71,71,73,70,57,62,65,71,67,69,67,5,10,11,15.0,14.0
Isaac Romero Bernal,184,70,Delantero,70,Left,3,68,74,72,71,66,71,70,50,62,67,65,64,58,71,56,68,75,61,65,70,30,12,71,55,65,58,10,12,10,5,12,11,8.0,12.0
Matteo Cotali,177,72,Defensor,70,Left,3,67,30,55,69,43,63,61,30,65,67,74,71,73,68,76,51,67,81,59,48,65,66,63,59,38,59,67,67,63,12,15,13,11.0,15.0
Vinicius Lúcio Trieiro Lobato,177,73,Defensor,70,Right,3,66,36,57,67,35,66,57,49,63,68,70,71,68,72,72,56,67,75,64,48,71,68,59,60,46,73,66,66,69,12,12,15,13.0,14.0
Ajdin Hrustić,180,78,Mediocampista,70,Left,2,70,65,51,75,65,71,78,75,73,74,70,65,75,68,73,74,64,55,63,77,69,59,68,72,65,68,57,59,50,9,7,8,7.0,6.0
Lucas Nahuel González Martínez,169,68,Mediocampista,70,Right,3,61,53,53,75,45,73,63,59,72,73,78,72,81,70,84,66,73,63,71,62,75,55,68,74,49,74,63,64,62,9,11,11,11.0,6.0
Aldo Sebastián Corzo Chávez,173,75,Defensor,70,Right,2,65,43,66,67,31,59,46,68,60,68,68,66,61,67,74,68,72,69,70,49,74,72,68,58,63,65,72,69,75,15,12,8,13.0,6.0
Kobbie Mainoo,184,80,Mediocampista,70,Right,3,54,59,64,75,52,74,63,41,70,68,77,72,78,68,84,64,76,69,68,50,70,64,61,67,51,75,70,71,63,14,11,10,5.0,9.0
Oluwasemilogo Adesewo Ibidapo Ajayi,193,83,Defensor,70,Right,2,34,42,75,57,24,60,27,36,54,61,64,77,54,68,35,61,84,79,81,59,75,67,52,43,32,68,70,68,66,7,11,9,6.0,14.0
Elias Saad,185,72,Delantero,70,Right,3,60,68,47,71,57,77,61,42,62,72,77,68,85,67,77,68,63,71,58,54,31,25,68,63,55,67,28,36,38,7,9,8,12.0,12.0
Marcin Kamiński,192,84,Defensor,70,Left,2,55,54,74,71,44,58,57,63,72,64,50,52,48,64,54,68,77,67,78,60,64,71,55,56,34,64,65,75,68,9,10,7,6.0,10.0
William David Cuesta Mosquera,195,87,Arquero,70,Right,2,15,16,14,30,20,13,22,21,35,20,44,49,38,68,35,51,67,38,73,20,21,23,11,30,34,31,18,21,16,68,69,68,70.0,72.0
Jailson Pietro Oliva Chiamulera,171,65,Defensor,70,Right,3,64,33,50,62,36,68,53,43,56,64,84,78,85,66,87,54,59,77,44,34,62,72,41,50,42,62,65,70,66,12,13,9,11.0,16.0
Hassan Khalid Al Heidos,174,66,Mediocampista,70,Right,3,45,70,56,74,68,68,65,74,81,71,73,66,86,63,54,50,41,64,37,46,67,70,76,69,35,27,21,12,16,16,10,8,0.0,0.0
Victor Edvardsen,185,86,Delantero,70,Right,4,63,68,56,65,63,70,71,57,59,68,76,82,67,64,70,72,72,75,82,72,78,12,75,61,62,68,15,40,27,6,14,7,10.0,5.0
Jorge Sáenz de Miera Colmeiro,192,75,Defensor,70,Right,3,42,35,69,65,46,57,32,49,59,65,53,68,55,66,60,52,73,78,76,41,69,68,47,56,45,71,72,69,70,7,14,7,8.0,11.0
Lucas Alexander Sosa,179,77,Defensor,70,Left,2,60,37,62,66,41,55,37,27,55,61,71,68,56,63,53,33,79,68,80,39,72,72,36,46,44,67,70,72,68,9,10,11,9.0,12.0
Aylton Filipe Boa Morte,182,75,Mediocampista,70,Right,3,65,64,52,66,52,75,63,47,45,72,74,76,75,70,72,75,69,78,70,54,65,25,70,65,63,69,20,28,34,5,13,13,14.0,9.0
František Plach,192,80,Arquero,70,Left,2,15,9,14,24,7,10,12,10,23,18,35,29,39,72,53,50,58,19,60,8,28,8,9,55,10,59,21,23,15,68,68,67,69.0,68.0
Josepmir Aarón Ballón Villacorta,180,80,Mediocampista,70,Right,3,60,58,58,70,45,62,61,70,67,68,64,74,73,65,67,72,71,79,75,70,74,72,56,68,70,70,65,65,61,7,12,7,12.0,14.0
Denis Alibec,187,84,Delantero,70,Left,3,51,71,70,70,74,73,67,74,71,68,68,66,65,78,73,68,80,72,89,19,71,68,71,70,20,23,18,16,6,12,6,8,0.0,0.0
Ahmed Hassan Mahgoub,191,78,Delantero,70,Right,3,34,72,77,66,72,63,58,44,53,66,52,60,71,64,49,79,83,66,83,65,77,39,75,65,74,72,23,18,23,15,14,8,14.0,11.0
Alexis Nahuel Soto,177,73,Defensor,70,Left,2,68,43,52,66,39,72,79,57,46,70,76,81,76,64,77,56,70,81,69,42,72,66,49,57,47,58,63,67,65,12,5,6,7.0,14.0
Mikael Neville Anderson,180,69,Mediocampista,70,Right,4,68,67,60,69,62,74,68,62,66,74,79,79,82,70,83,68,76,83,68,63,70,65,69,73,50,75,65,66,60,14,14,6,13.0,12.0
Danny McNamara,174,72,Defensor,70,Right,2,66,39,57,66,31,65,49,40,56,66,79,78,77,68,78,50,73,78,65,37,66,66,58,55,41,64,66,68,65,14,6,6,11.0,15.0
Ranko Veselinović,190,77,Defensor,70,Right,3,35,23,67,67,26,42,27,30,58,57,56,74,45,68,59,38,74,77,79,22,76,69,33,34,33,60,70,71,67,14,14,12,11.0,11.0
Diego Valentín Gómez,183,73,Defensor,70,Left,2,39,25,68,72,31,60,30,29,68,65,78,80,74,67,73,50,77,78,65,29,85,66,29,59,36,64,65,73,73,11,12,7,9.0,7.0
Kevin Donadinna,182,73,Mediocampista,70,Right,3,56,71,32,71,35,75,42,63,73,73,74,74,61,68,64,46,57,60,64,73,38,64,69,70,57,54,34,71,50,14,13,13,10.0,11.0
Gideon Mensah,178,64,Defensor,70,Left,2,69,53,61,67,56,70,66,49,61,69,77,75,72,67,80,65,72,75,59,53,76,64,66,54,46,63,62,67,68,8,14,8,11.0,7.0
Santiago Thomas Castro,182,76,Delantero,70,Right,4,40,72,73,58,56,68,45,47,48,67,82,82,78,64,77,76,87,56,71,71,73,35,67,53,64,57,25,37,40,14,13,9,12.0,11.0
Iké Dominique Ugbo,185,73,Delantero,70,Right,3,57,73,69,66,71,67,43,38,41,68,70,78,69,72,63,68,77,62,74,55,61,26,72,63,73,68,21,30,19,11,13,5,13.0,11.0
Francho Serrano Gracia,177,72,Mediocampista,70,Right,4,61,64,55,73,56,69,61,60,71,71,67,70,74,64,72,60,66,85,65,61,56,68,66,70,59,68,55,68,56,13,12,7,8.0,6.0
Chukwubuike Junior Adamu,183,81,Delantero,70,Right,3,41,69,69,59,68,71,63,58,38,66,79,82,80,66,73,72,82,66,74,65,48,21,70,59,72,68,18,13,12,7,5,13,15.0,9.0
Cristian Sáreda,194,87,Defensor,70,Right,2,29,22,66,62,33,41,26,31,52,51,50,54,41,68,43,52,74,66,83,22,79,72,28,30,40,55,73,70,65,15,10,11,8.0,11.0
Jefferson Andrés Duque Montoya,183,79,Delantero,70,Right,3,46,75,75,65,65,66,32,69,57,69,58,61,61,68,63,70,79,63,77,70,46,36,70,56,80,72,15,19,17,7,13,12,13.0,13.0
Radim Řezník,183,79,Defensor,70,Right,3,67,60,75,65,57,64,47,47,62,66,71,74,63,69,68,62,85,66,78,57,76,68,64,64,53,67,66,68,66,11,12,10,12.0,10.0
Jordy José Alcívar Macías,168,63,Mediocampista,70,Right,3,52,61,54,73,52,66,69,70,71,70,68,65,70,69,81,71,66,81,70,74,60,65,66,70,71,68,66,64,55,11,13,5,8.0,9.0
Robson Alves de Barros,185,72,Defensor,70,Right,3,44,30,73,63,41,57,57,39,60,62,71,75,69,67,65,57,79,63,67,43,70,71,39,47,45,60,69,71,68,10,12,10,9.0,14.0
Jake Bidwell,183,80,Defensor,70,Left,2,69,37,65,66,44,56,60,59,65,68,67,68,62,67,64,66,74,80,73,51,77,67,61,60,49,65,68,68,65,13,13,12,12.0,12.0
Edgar Miguel Ié,182,68,Defensor,70,Right,3,65,31,68,65,37,63,49,59,62,61,74,77,72,69,71,66,78,62,71,46,73,70,34,40,42,69,69,70,71,7,9,7,10.0,12.0
Paolo Marco Leima Donatelo,169,69,Defensor,70,Right,3,69,41,54,68,49,70,63,45,69,71,74,76,63,68,71,65,68,77,65,51,84,65,65,60,54,54,58,69,62,7,8,11,11.0,7.0
Colin Dagba,170,62,Defensor,70,Right,2,68,48,54,70,39,67,63,41,65,71,75,72,81,66,86,67,59,62,49,58,68,68,69,65,44,70,68,70,70,7,6,9,11.0,11.0
Liam Kitching,191,80,Defensor,70,Left,2,32,35,70,69,32,60,26,22,64,60,65,72,40,63,41,44,80,71,83,23,81,68,45,50,29,67,65,67,64,14,14,8,8.0,7.0
Viktor Kovalenko,182,76,Mediocampista,70,Right,4,71,66,59,72,76,70,75,67,67,74,73,68,74,67,76,70,74,80,72,73,60,59,70,70,68,69,55,59,55,15,12,6,9.0,11.0
Denis Genreau,175,75,Mediocampista,70,Right,3,63,65,39,74,42,68,53,41,66,70,68,58,63,72,70,67,56,77,63,57,72,67,71,72,45,70,65,69,67,10,14,6,10.0,10.0
Andre Gray,178,78,Delantero,70,Right,3,60,72,63,63,67,66,57,44,54,67,75,82,75,70,71,77,77,68,72,60,70,33,73,67,70,71,27,23,20,11,16,11,9.0,14.0
Rayyan Baniya,192,84,Defensor,70,Right,2,26,25,65,60,32,46,35,30,48,59,63,66,53,70,54,45,70,69,82,27,77,71,34,32,40,68,69,74,66,12,7,8,6.0,8.0
Leandro Nicolás Lozano Fernández,169,70,Defensor,70,Right,3,70,52,61,63,43,64,62,46,62,65,82,75,75,66,73,64,77,74,67,62,65,64,64,60,49,65,63,69,68,6,7,14,9.0,15.0
Joan Gonzàlez Cañellas,188,80,Mediocampista,70,Right,3,58,59,59,74,48,69,66,58,72,72,70,62,61,67,48,70,73,80,74,63,76,62,71,70,55,70,42,53,58,12,14,9,14.0,8.0
Maxime Busi,182,78,Defensor,70,Right,3,71,47,70,70,42,68,63,37,60,70,69,70,69,68,68,54,72,68,65,51,64,65,57,53,46,59,65,68,66,8,14,11,7.0,12.0
Nicolas Thibault Haas,181,74,Mediocampista,70,Right,4,67,58,59,73,56,70,60,57,70,72,73,78,84,70,82,68,70,73,64,64,66,65,65,72,55,66,65,62,62,10,15,7,6.0,9.0
Rui Pedro da Silva e Sousa,182,75,Delantero,70,Right,3,51,72,62,68,63,72,69,40,57,73,70,74,73,68,62,74,72,72,70,56,67,31,71,59,66,69,34,20,18,9,13,6,8.0,10.0
Yoel Rodríguez Oterino,186,78,Arquero,70,Right,5,24,14,10,31,19,13,25,15,35,14,35,43,40,72,47,51,60,34,70,11,35,19,13,45,25,57,19,15,11,70,69,68,69.0,67.0
Kelvin Kwarteng Yeboah,185,73,Delantero,70,Right,3,53,70,59,59,57,71,56,40,48,68,91,85,81,74,71,70,80,73,70,58,55,20,71,66,68,65,19,21,17,7,11,12,6.0,6.0
Imanol García de Albéniz Crecente,177,63,Defensor,70,Left,2,69,37,65,70,38,65,58,64,64,64,66,67,68,63,78,53,56,74,41,67,64,72,54,61,43,58,64,69,71,10,8,6,6.0,14.0
Agustín Sández,181,78,Defensor,70,Left,2,65,36,66,60,30,63,61,41,56,59,73,76,66,66,63,52,80,80,77,46,81,65,60,42,40,51,68,67,69,11,7,11,7.0,10.0
Jérémy Pierre Sincère Gelin,183,79,Mediocampista,70,Right,3,60,30,68,73,30,58,52,33,70,66,40,45,51,63,60,52,63,59,69,35,65,71,26,66,48,71,67,72,70,8,11,7,12.0,14.0
Andrew Irving,190,78,Mediocampista,70,Left,2,68,70,60,70,64,72,66,71,69,73,60,55,60,62,70,72,71,76,73,69,67,63,68,74,72,65,63,61,61,10,15,12,10.0,13.0
Adrián San Miguel del Castillo,190,80,Arquero,70,Right,2,12,16,15,21,12,15,12,17,32,23,44,42,53,69,48,50,62,38,63,20,38,25,12,32,44,57,18,19,14,70,70,67,69.0,69.0
周定洋 Tim Chow,180,72,Mediocampista,70,Right,3,66,59,60,68,62,65,58,64,71,71,71,73,76,69,73,69,75,84,72,64,69,72,65,69,62,66,70,69,61,12,8,8,13.0,14.0
Carlos Sebastián Ferreira Vidal,180,78,Delantero,70,Right,3,41,71,68,64,58,73,57,65,52,71,72,70,79,72,57,76,73,69,62,65,50,35,72,60,73,61,33,37,33,5,10,13,6.0,8.0
Carlos Sebastián Sosa Silva,179,78,Arquero,70,Right,3,14,10,14,34,12,20,21,16,36,22,57,42,65,72,50,51,71,38,72,18,45,22,15,45,22,60,20,22,20,69,65,68,71.0,72.0
Mauro Rodolfo Pittón,181,70,Mediocampista,70,Right,3,59,54,58,73,48,69,73,65,72,70,75,77,78,67,70,62,68,84,59,53,77,66,67,68,45,58,67,71,68,16,14,13,9.0,15.0
Javier López Carballo,183,75,Defensor,70,Left,3,64,26,64,65,21,52,46,31,42,65,74,79,73,65,55,30,74,75,67,27,60,68,55,43,36,52,65,70,68,11,13,14,14.0,11.0
Denis Huseinbašić,184,76,Mediocampista,70,Right,3,44,67,53,74,42,68,44,36,69,70,67,63,68,70,68,61,64,76,66,58,74,65,69,73,43,70,64,61,56,10,5,14,9.0,15.0
Kevin Long,188,83,Defensor,70,Right,2,38,29,72,59,26,52,38,32,56,56,50,47,54,66,49,56,77,44,80,27,76,68,48,50,32,66,72,70,66,8,14,7,8.0,7.0
Alexis Arias Tuesta,164,64,Mediocampista,70,Right,3,58,65,64,69,40,65,55,70,65,69,63,55,80,67,83,64,53,78,36,68,70,75,71,80,68,53,75,71,69,6,7,8,12.0,15.0
Dmytro Chygrynskiy,189,85,Defensor,70,Right,3,40,32,75,68,32,35,43,48,70,52,40,39,37,67,42,53,68,44,70,42,74,72,36,59,38,68,74,72,68,7,11,6,7.0,10.0
최영준 财杨钧 Young-Jun Choi,181,76,Mediocampista,70,Right,3,60,54,42,68,55,61,55,60,64,68,65,59,64,59,62,55,63,82,78,58,68,74,58,65,63,62,70,69,64,13,7,7,16.0,10.0
Samuel Piette,171,79,Mediocampista,70,Right,2,39,25,63,73,18,50,49,24,65,65,52,64,65,64,85,49,71,82,76,20,78,69,22,54,43,60,69,72,60,15,10,10,7.0,9.0
Anderson Sobedra,190,89,Arquero,70,Right,1,12,8,13,27,8,11,13,12,31,14,35,36,32,65,31,52,67,29,79,9,26,13,9,50,14,44,12,12,12,72,66,69,69.0,73.0
Farley Vieira Rosa,176,65,Mediocampista,70,Right,3,67,67,41,67,60,73,66,67,63,71,83,90,73,61,76,63,62,59,59,62,36,20,62,62,52,59,18,21,22,14,6,8,7.0,8.0
İrfan Can Eğribayat,193,79,Arquero,70,Right,2,12,6,14,44,7,12,13,10,44,16,47,48,48,63,27,52,61,21,59,6,18,13,7,51,18,37,18,14,11,70,70,69,68.0,73.0
Oier Olazábal Paredes,190,86,Arquero,70,Left,3,23,14,15,34,12,20,24,15,36,20,48,45,46,65,40,51,66,42,68,15,28,20,13,47,25,55,15,18,16,69,68,68,70.0,69.0
森岡 弘良太 Ryota Morioka,180,70,Mediocampista,70,Right,3,72,67,64,71,71,68,68,72,71,72,48,37,61,65,68,70,65,60,69,72,69,75,71,75,71,75,73,67,63,5,8,6,13.0,6.0
Bo Niklas Hult,173,63,Defensor,70,Left,3,68,58,50,71,56,70,65,51,65,70,80,62,77,67,81,67,66,76,56,57,65,67,64,65,50,72,63,69,65,7,8,13,16.0,15.0
Abdulaziz Hatem Mohammed Abdullah,182,76,Mediocampista,70,Left,5,62,72,60,66,68,53,72,71,57,61,68,68,65,74,69,77,71,74,58,64,66,68,44,71,58,64,58,15,10,13,10,8,0.0,0.0
Ismaël Jean Chester Diallo,178,74,Defensor,70,Left,3,60,33,68,62,40,68,41,37,49,66,68,65,69,69,72,50,76,79,74,31,68,69,59,46,45,67,70,70,70,5,13,12,11.0,7.0
Alejandro José Marqués Méndez,189,76,Delantero,70,Right,3,46,77,81,66,57,71,51,37,42,73,69,70,66,55,67,67,84,61,70,62,45,26,63,59,67,67,41,26,23,13,12,14,8.0,13.0
Santiago Longo,177,70,Mediocampista,70,Right,3,61,42,65,70,45,65,46,51,71,65,54,56,56,67,72,52,70,73,74,52,77,65,65,64,53,67,71,72,70,11,10,14,15.0,11.0
Emanuel Mariano Insúa Zapata,182,81,Defensor,70,Left,2,64,49,64,59,30,63,47,42,58,66,73,77,59,66,64,70,77,75,71,59,81,65,56,58,41,60,66,71,67,8,11,7,14.0,8.0
Carlos Gabriel Villalba Rivas,175,71,Mediocampista,70,Right,3,45,42,67,70,46,69,45,47,66,68,64,65,65,70,73,64,74,80,73,55,65,68,60,61,50,65,68,71,64,8,9,12,7.0,6.0
Tanner Tessmann,188,86,Mediocampista,70,Right,5,58,48,55,73,48,67,58,60,71,70,64,63,65,67,69,66,74,74,83,57,59,65,66,71,48,66,70,67,63,9,6,10,10.0,6.0
Luis Ricardo Mejía Cajar,193,81,Arquero,70,Left,1,21,14,13,24,16,13,21,19,22,16,55,48,60,65,58,51,73,37,76,17,45,19,13,42,18,31,30,13,13,69,72,68,65.0,72.0
Bonke Innocent,178,80,Mediocampista,70,Right,2,44,41,53,65,38,63,47,35,67,68,76,66,74,64,80,47,79,72,84,43,90,68,43,52,48,68,66,72,66,8,11,15,6.0,14.0
Smail Prevljak,187,75,Delantero,70,Right,3,62,75,68,62,74,66,71,65,48,71,52,56,60,71,58,77,71,67,75,74,65,16,74,57,66,75,25,16,12,15,11,11,12.0,11.0
Volkan Babacan,192,86,Arquero,70,Right,2,12,15,16,34,14,14,16,12,29,19,49,51,49,60,50,50,64,31,61,12,29,27,17,53,12,62,22,22,15,70,68,67,76.0,67.0
Simon Gustafson,185,80,Mediocampista,70,Left,3,66,65,46,72,69,70,73,71,72,71,55,64,65,69,59,77,60,80,72,73,64,54,70,75,88,72,59,57,42,7,7,7,11.0,13.0
Marcelo Antônio Guedes Filho,191,85,Defensor,70,Right,2,38,41,71,64,37,54,46,41,66,59,38,53,50,66,45,62,76,70,89,40,78,68,39,59,51,67,67,69,66,16,15,10,7.0,14.0
Haissem Hassan,178,71,Mediocampista,70,Left,3,63,61,40,60,54,82,60,48,52,75,92,85,92,60,86,63,62,61,54,59,45,20,64,58,63,60,21,31,25,12,10,11,8.0,14.0
Alex Vigo Gamaliel,175,74,Defensor,70,Right,3,65,53,55,64,46,74,62,46,60,70,89,80,85,63,75,65,76,81,65,57,76,63,75,68,48,67,62,64,64,5,6,14,14.0,13.0
Herbert Bockhorn,177,76,Defensor,70,Right,4,70,62,62,67,47,68,61,40,64,68,76,79,75,58,83,61,74,74,65,65,60,65,65,60,37,68,63,69,65,7,9,11,15.0,9.0
Darian Males,188,76,Mediocampista,70,Left,3,71,67,51,70,60,73,75,63,63,73,77,79,73,64,70,70,73,73,73,56,40,23,70,69,68,66,30,43,42,14,14,10,11.0,8.0
Armando Jesús Méndez Alcorta,176,82,Defensor,70,Right,3,61,41,48,64,31,61,47,29,47,57,82,78,55,66,72,33,81,82,93,29,72,66,55,32,39,59,65,70,74,14,12,11,14.0,12.0
Mario Soriano Carreño,163,60,Mediocampista,70,Right,3,58,74,42,65,68,77,60,65,60,75,76,74,83,64,90,72,66,60,72,70,58,31,65,64,60,65,29,33,29,5,11,8,6.0,15.0
Bård Finne,173,70,Delantero,70,Right,3,59,73,61,66,68,69,63,68,46,70,80,74,84,69,84,70,74,79,60,63,52,22,73,63,62,67,32,16,18,16,10,14,12.0,7.0
Nicolas Deroussel de Préville,182,77,Delantero,70,Right,3,67,70,65,69,73,67,72,73,67,71,70,76,75,69,74,74,71,71,64,71,68,48,70,68,74,72,36,28,37,8,10,14,11.0,9.0
Ignacio Francisco Chicco,184,80,Arquero,70,Right,3,8,7,14,37,6,15,13,14,32,28,45,40,52,66,41,47,68,24,75,11,28,10,6,44,21,50,20,13,10,68,71,62,71.0,70.0
Luan Vágner Sendeiro Zanon,181,78,Mediocampista,70,Right,3,65,52,74,72,40,55,53,75,78,69,66,68,61,68,62,72,80,66,73,59,62,67,52,72,43,55,71,63,67,11,11,12,12.0,19.0
Enrique Alberto Bologna Gómez,189,87,Arquero,70,Right,1,21,13,10,33,10,22,16,18,21,29,44,40,43,65,47,53,66,33,73,15,25,17,15,51,25,64,12,22,17,72,65,71,70.0,71.0
Marwane Saadane,188,83,Defensor,70,Right,3,54,47,70,68,38,56,43,54,74,69,58,57,63,62,59,61,78,86,84,50,83,65,36,49,71,62,67,70,65,7,10,14,15.0,5.0
Sinan Karweina,173,68,Delantero,70,Right,3,64,74,67,67,69,67,54,42,58,71,78,77,82,62,85,69,76,67,62,66,63,37,70,68,55,64,34,43,38,8,8,13,11.0,7.0
Lourival Adnan Rodeiro Reis,181,73,Mediocampista,70,Right,3,32,59,55,78,35,67,46,35,73,71,71,68,74,68,70,52,63,64,54,71,58,61,68,66,40,62,69,65,62,15,15,15,15.0,15.0
Arnór Sigurðsson,177,75,Mediocampista,70,Right,3,67,70,39,68,66,71,62,56,62,71,76,76,80,64,74,70,58,69,57,68,48,42,69,68,60,66,45,39,32,8,7,10,7.0,11.0
Juninho Bacuna,178,74,Mediocampista,70,Right,4,70,62,61,70,61,74,69,67,71,74,76,71,73,67,71,80,79,75,74,71,84,63,68,70,59,65,67,68,59,6,11,8,14.0,10.0
Iván Alexis Pillud,180,82,Defensor,70,Right,2,70,50,61,67,56,62,80,53,63,67,61,64,57,70,56,72,74,64,77,60,75,72,65,57,62,56,70,70,66,16,14,7,11.0,7.0
Mamadou Mbaye,193,81,Defensor,70,Right,4,53,23,72,71,39,32,50,30,59,64,56,59,41,58,49,50,75,61,72,19,69,69,23,41,32,58,70,74,71,15,12,11,5.0,5.0
Jake Clarke-Salter,188,70,Defensor,70,Left,3,36,32,71,65,30,43,33,28,63,53,61,68,50,64,45,44,79,68,77,25,68,68,28,41,41,63,71,71,68,8,12,11,9.0,6.0
Mailson Tenorio dos Santos,200,75,Arquero,70,Right,2,15,10,13,17,8,6,15,15,20,12,38,32,41,67,30,58,57,20,73,8,25,10,10,53,16,23,15,13,14,71,70,77,68.0,68.0
Vlad Iulian Chiricheș,184,75,Defensor,70,Right,3,46,56,70,66,66,59,46,41,68,60,44,51,53,70,66,75,64,49,66,66,75,74,36,46,51,62,71,73,71,7,11,10,14.0,13.0
Roderick Jefferson Gonçalves Miranda,191,85,Defensor,70,Right,2,50,26,67,63,43,51,42,32,59,58,39,34,34,65,31,68,72,79,89,28,77,68,41,37,20,64,67,69,70,12,14,8,6.0,12.0
Fabrizio Germán Angileri,185,85,Defensor,70,Left,3,70,60,63,65,73,67,79,71,69,69,76,77,74,66,69,86,82,79,80,68,72,63,71,70,66,72,65,67,66,8,8,11,9.0,8.0
